category,start_date
Aster,on frost-free date
Bleeding Heart,1 week after
Dicentra,1 week after
Bluebells,3 to 4 weeks before
Bells of Ireland,on frost-free date
Calendula,on frost-free date
Cardoon,on frost-free date
Caladium,2 to 3 weeks after
Canna,1 week after
Cardinal,on frost-free date
Carthamus,on frost-free date
Safflower,on frost-free date
Castor Bean,1 week after
Celosia,1 week after
Centaurea,on frost-free date
Clematis,1 to 2 weeks before
Bachelor's Button,on frost-free date
Begonia,1 to 2 weeks after
Brunnera,on frost-free date
Chinese Lanterns,on frost-free date
Chocolate Vine,on frost-free date
Coleus,1 week after
Cosmo,on frost-free date
Craspedia,on frost-free date
Crown Vetch,on frost-free date
Cyclamen,6 months before
Drumstick Flower,on frost-free date
Daffodil,6 months before
Daisy,on frost-free date
Datura,2 to 3 weeks after
Dahlia,1 to 2 weeks after
Angel's Trumpet,2 to 3 weeks after
Delphinium,on frost-free date
Dianthus,1 to 2 weeks before
Sweet William,1 to 2 weeks before
Digitalis,on frost-free date
Foxglove,on frost-free date
Elephant Ear,1 week after
Epimedium,2 to 3 weeks before
Eucalyptus,on frost-free date
Euphorbia,on frost-free date
Snow-on-the-Mountain,on frost-free date
Flower Collections & Mixes,on frost-free date
Forget-Me-Not,on frost-free date
Gaillardia,on frost-free date
Gardenia,on frost-free date
Gladiolas,2 weeks before
Gladiolus,2 weeks before
Geranium,2 weeks before
Blanket Flower,on frost-free date
Gomphrena,on frost-free date
Globe Amaranth,on frost-free date
Grandiflora,on frost-free date
Helianthus maximillianii,on frost-free date
Hellebores,2 to 3 weeks before
Hens & Chicks,2 to 3 weeks after
Heucherella,2 to 3 weeks before
Coral Bells,2 to 3 weeks before
Hibiscus,1 week after
Hosta,1 to 2 weeks after
Hollyhock,on frost-free date
Hummingbird Mint,1 week after
Hyacinth Bean,1 week after
Japanese Painted Fern, 1 to 2 weeks before
Impatiens,1 week after
Larkspur,on frost-free date
Lisianthus,on frost-free date
Liriope,2 weeks before
Lupine,2 weeks before
Marigold,1 week after
Milkweed,6 months before
Monarda,on frost-free date
Mums,on frost-free date
Bee Balm,on frost-free date
Morning Glory,3 to 4 weeks after
Nigella,on frost-free date
Ornamental Grass, 1 week before
Cat Grass, 1 week after
Passion Flower,1 to 2 weeks before
Phlox,1 to 2 weeks before
Petunia,on frost-free date
Polygonum,on frost-free date
Prince's Feather,on frost-free date
Primrose,on frost-free date
California Poppy,on frost-free date
Corn Poppy,on frost-free date
Iceland Poppy,on frost-free date
Ptilotus,on frost-free date
Raspberry,2 to 3 weeks before
Rose,on frost-free date
Rudbeckia,on frost-free date
Black-Eyed Susan,on frost-free date
Salpiglossis,on frost-free date
Painted Tongue,on frost-free date
Salvia,on frost-free date
Sanvitalia,on frost-free date
Scabiosa,on frost-free date
Sedum,1 to 2 weeks after
Pincushion Flower,on frost-free date
Scarlet Runner Bean,1 to 2 weeks before
Spiderwort,1 to 2 weeks before
Snapdragon,on frost-free date
Snow in Summer,1 to 2 weeks before
Statice,on frost-free date
Stock,on frost-free date
Sunflowers,on frost-free date
Sundrops,on frost-free date
Strawflower,on frost-free date
Strawberry,1 to 2 weeks before
Sweet Pea,1 to 2 weeks before
Thunbergia,on frost-free date
Black-Eyed Susan Vine,on frost-free date
Tithonia,1 week after
Mexican Sunflower,1 week after
Tree,3 to 4 weeks before
Trillium,6 months before
Trumpet Vine,on frost-free date
Tulip,6 months before
Verbena,on frost-free date
Viola,1 to 2 weeks before
Wisteria,1 to 2 weeks before
Wintercreeper,1 to 2 weeks before
Wildflower,on frost-free date
Hummingbird & Butterfly,on frost-free date
Pansy,1 to 2 weeks before
Yarrow,on frost-free date
Zinnia,1 week after
Grass,2 to 3 weeks before
Flower Seed Mixture,on frost-free date
